brand,url,image_url,collection,reference,price,currency,country,year,price_GBP,price_USD,price_JPY,price_EUR
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/submersible/pam00968-submersible-bronzo---47mm.html,https://www.panerai.com/content/dam/rcq/pan/18/95/60/5/1895605.png,SUBMERSIBLE,PAM00968,16500.0,EUR,France,2021,13620.75,17136.899999999998,2579113.35,16500.0
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam01438-tuttonero-luminor-gmt---44mm.html,https://www.panerai.com/content/dam/rcq/pan/19/05/23/0/1905230.png,LUMINOR,PAM01438,14500.0,EUR,France,2021,11969.75,15059.699999999999,2266493.55,14500.0
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/radiomir/pam00995-radiomir---45mm.html,https://www.panerai.com/content/dam/rcq/pan/19/18/46/7/1918467.png,RADIOMIR,PAM00995,10900.0,EUR,France,2021,8997.95,11320.74,1703777.91,10900.0
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/radiomir/pam00997-radiomir---48mm.html,https://www.panerai.com/content/dam/rcq/pan/19/18/46/9/1918469.png,RADIOMIR,PAM00997,12900.0,EUR,France,2021,10648.95,13397.939999999999,2016397.71,12900.0
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/radiomir/pam00998-radiomir-gmt---45mm.html,https://www.panerai.com/content/dam/rcq/pan/19/18/47/2/1918472.png,RADIOMIR,PAM00998,11700.0,EUR,France,2021,9658.35,12151.619999999999,1828825.83,11700.0
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/submersible/pam00973-submersible---42mm.html,https://www.panerai.com/content/dam/rcq/pan/19/18/47/7/1918477.png,SUBMERSIBLE,PAM00973,8700.0,EUR,France,2021,7181.85,9035.82,1359896.13,8700.0
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/submersible/pam00974-submersible---42mm.html,https://www.panerai.com/content/dam/rcq/pan/19/18/47/8/1918478.png,SUBMERSIBLE,PAM00974,26500.0,EUR,France,2021,21875.75,27522.899999999998,4142212.35,26500.0
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor-due/pam01029-luminor-due---38mm.html,https://www.panerai.com/content/dam/rcq/pan/19/18/48/0/1918480.png,LUMINOR-DUE,PAM01029,15400.0,EUR,France,2021,12712.7,15994.439999999999,2407172.46,15400.0
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor-due/pam00927-luminor-due---42mm.html,https://www.panerai.com/content/dam/rcq/pan/19/31/49/9/1931499.png,LUMINOR-DUE,PAM00927,7200.0,EUR,France,2021,5943.6,7477.92,1125431.28,7200.0
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor-due/pam00926-luminor-due---38mm.html,https://www.panerai.com/content/dam/rcq/pan/19/31/50/0/1931500.png,LUMINOR-DUE,PAM00926,6900.0,EUR,France,2021,5695.95,7166.34,1078538.31,6900.0
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor-due/pam00964-luminor-due-gmt-power-reserve---45mm.html,https://www.panerai.com/content/dam/rcq/pan/19/34/35/4/1934354.png,LUMINOR-DUE,PAM00964,11900.0,EUR,France,2021,9823.45,12359.34,1860087.81,11900.0
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor-due/pam01046-luminor-due---42mm.html,https://www.panerai.com/content/dam/rcq/pan/19/34/35/5/1934355.png,LUMINOR-DUE,PAM01046,6400.0,EUR,France,2021,5283.2,6647.04,1000383.36,6400.0
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor-due/pam01043-luminor-due---38mm.html,https://www.panerai.com/content/dam/rcq/pan/19/34/35/6/1934356.png,LUMINOR-DUE,PAM01043,6100.0,EUR,France,2021,5035.55,6335.46,953490.39,6100.0
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor-due/pam01045-luminor-due---38mm.html,https://www.panerai.com/content/dam/rcq/pan/19/34/35/7/1934357.png,LUMINOR-DUE,PAM01045,15400.0,EUR,France,2021,12712.7,15994.439999999999,2407172.46,15400.0
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam01037-luminor-luna-rossa-chrono-flyback---44mm.html,https://www.panerai.com/content/dam/rcq/pan/19/58/84/7/1958847.png,LUMINOR,PAM01037,17500.0,EUR,France,2021,14446.25,18175.5,2735423.25,17500.0
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/radiomir/pam00931-radiomir-california---47mm.html,https://www.panerai.com/content/dam/rcq/pan/19/62/12/8/1962128.png,RADIOMIR,PAM00931,8500.0,EUR,France,2021,7016.75,8828.1,1328634.15,8500.0
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor-due/pam01042-luminor-due---42mm.html,https://www.panerai.com/content/dam/rcq/pan/19/72/38/6/1972386.png,LUMINOR-DUE,PAM01042,18400.0,EUR,France,2021,15189.2,19110.239999999998,2876102.16,18400.0
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor-due/pam01041-luminor-due---42mm.html,https://www.panerai.com/content/dam/rcq/pan/19/72/38/7/1972387.png,LUMINOR-DUE,PAM01041,18400.0,EUR,France,2021,15189.2,19110.239999999998,2876102.16,18400.0
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/radiomir/pam00992-radiomir-8-days---45mm.html,https://www.panerai.com/content/dam/rcq/pan/19/72/39/0/1972390.png,RADIOMIR,PAM00992,8300.0,EUR,France,2021,6851.650000000001,8620.38,1297372.17,8300.0
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam00915-luminor-base---44mm.html,https://www.panerai.com/content/dam/rcq/pan/19/76/97/7/1976977.png,LUMINOR,PAM00915,6700.0,EUR,France,2021,5530.85,6958.62,1047276.33,6700.0
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam00914-luminor-base---44mm.html,https://www.panerai.com/content/dam/rcq/pan/19/76/97/9/1976979.png,LUMINOR,PAM00914,6200.0,EUR,France,2021,5118.1,6439.32,969121.38,6200.0
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam01661-luminor-marina-carbotech---44mm.html,https://www.panerai.com/content/dam/rcq/pan/20/15/95/0/2015950.png,LUMINOR,PAM01661,13500.0,EUR,France,2021,11144.25,14021.1,2110183.65,13500.0
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/radiomir/pam01078-radiomir---45mm.html,https://www.panerai.com/content/dam/rcq/pan/20/27/37/3/2027373.png,RADIOMIR,PAM01078,10900.0,EUR,France,2021,8997.95,11320.74,1703777.91,10900.0
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/radiomir/pam01144-radiomir---42mm.html,https://www.panerai.com/content/dam/rcq/pan/20/27/37/5/2027375.png,RADIOMIR,PAM01144,7900.0,EUR,France,2021,6521.45,8204.94,1234848.21,7900.0
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam01117-luminor-marina---44mm.html,https://www.panerai.com/content/dam/rcq/pan/20/35/32/1/2035321.png,LUMINOR,PAM01117,19000.0,EUR,France,2021,15684.5,19733.399999999998,2969888.1,19000.0
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/submersible/pam01108-submersible-ecopangaea-tourbillon-gmt---50mm-mike-horn-.html,https://www.panerai.com/content/dam/rcq/pan/20/35/33/0/2035330.png,SUBMERSIBLE,PAM01108,190000.0,EUR,France,2021,156845.0,197334.0,29698881.0,190000.0
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam01112-luminor-marina-goldtech---44mm.html,https://www.panerai.com/content/dam/rcq/pan/20/35/33/2/2035332.png,LUMINOR,PAM01112,23600.0,EUR,France,2021,19481.8,24510.96,3688913.64,23600.0
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam01118-luminor-marina-carbotech---44mm.html,https://www.panerai.com/content/dam/rcq/pan/20/35/33/4/2035334.png,LUMINOR,PAM01118,16000.0,EUR,France,2021,13208.0,16617.6,2500958.4,16000.0
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam01119-luminor-marina-fibratech---44mm.html,https://www.panerai.com/content/dam/rcq/pan/20/35/33/6/2035336.png,LUMINOR,PAM01119,19000.0,EUR,France,2021,15684.5,19733.399999999998,2969888.1,19000.0
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam01662-luminor-marina---44mm.html,https://www.panerai.com/content/dam/rcq/pan/20/35/34/1/2035341.png,LUMINOR,PAM01662,15000.0,EUR,France,2021,12382.5,15579.0,2344648.5,15000.0
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam01663-luminor-marina-fibratech---44mm.html,https://www.panerai.com/content/dam/rcq/pan/20/35/34/4/2035344.png,LUMINOR,PAM01663,16000.0,EUR,France,2021,13208.0,16617.6,2500958.4,16000.0
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam01313-luminor-marina---44mm.html,https://www.panerai.com/content/dam/rcq/pan/20/50/94/8/2050948.png,LUMINOR,PAM01313,7900.0,EUR,France,2021,6521.45,8204.94,1234848.21,7900.0
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam01085-luminor-blu-mare---44mm.html,https://www.panerai.com/content/dam/rcq/pan/20/61/23/0/2061230.png,LUMINOR,PAM01085,5400.0,EUR,France,2021,4457.7,5608.44,844073.46,5400.0
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam01314-luminor-marina---44mm.html,https://www.panerai.com/content/dam/rcq/pan/20/66/83/2/2066832.png,LUMINOR,PAM01314,7900.0,EUR,France,2021,6521.45,8204.94,1234848.21,7900.0
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam02392-luminor-marina---42mm.html,https://www.panerai.com/content/dam/rcq/pan/20/66/85/6/2066856.png,LUMINOR,PAM02392,7700.0,EUR,France,2021,6356.35,7997.219999999999,1203586.23,7700.0
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam01316-luminor-marina--specchio-blu---44mm.html,https://www.panerai.com/content/dam/rcq/pan/20/67/63/6/2067636.png,LUMINOR,PAM01316,8700.0,EUR,France,2021,7181.85,9035.82,1359896.13,8700.0
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam01096-luminor-luna-rossa-gmt---42mm.html,https://www.panerai.com/content/dam/rcq/pan/20/76/80/1/2076801.png,LUMINOR,PAM01096,10800.0,EUR,France,2021,8915.4,11216.88,1688146.92,10800.0
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/submersible/pam01070-submersible-goldtech-orocarbo---44mm.html,https://www.panerai.com/content/dam/rcq/pan/20/81/27/2/2081272.png,SUBMERSIBLE,PAM01070,29900.0,EUR,France,2021,24682.45,31054.14,4673666.01,29900.0
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam01393-luminor-marina---42mm.html,https://www.panerai.com/content/dam/rcq/pan/20/81/31/7/2081317.png,LUMINOR,PAM01393,7700.0,EUR,France,2021,6356.35,7997.219999999999,1203586.23,7700.0
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam01086-luminor-base-logo---44mm.html,https://www.panerai.com/content/dam/rcq/pan/20/83/64/8/2083648.png,LUMINOR,PAM01086,4900.0,EUR,France,2021,4044.9500000000003,5089.139999999999,765918.51,4900.0
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam01084-luminor-logo---44mm.html,https://www.panerai.com/content/dam/rcq/pan/20/83/65/0/2083650.png,LUMINOR,PAM01084,5400.0,EUR,France,2021,4457.7,5608.44,844073.46,5400.0
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/radiomir/pam02020-radiomir---45mm.html,https://www.panerai.com/content/dam/rcq/pan/20/92/98/5/2092985.png,RADIOMIR,PAM02020,6500.0,EUR,France,2021,5365.75,6750.9,1016014.35,6500.0
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam01075-luminor-left-handed---47mm.html,https://www.panerai.com/content/dam/rcq/pan/21/16/47/0/2116470.png,LUMINOR,PAM01075,9500.0,EUR,France,2021,7842.25,9866.699999999999,1484944.05,9500.0
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam01122-luminor-marina-44mm---guillaume-nery-edition.html,https://www.panerai.com/content/dam/rcq/pan/21/28/65/2/2128652.png,LUMINOR,PAM01122,19000.0,EUR,France,2021,15684.5,19733.399999999998,2969888.1,19000.0
