brand,url,image_url,collection,reference,price,currency,country,time scope
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam01313-luminor-marina---44mm.html,https://www.panerai.com/content/dam/rcq/pan/20/50/94/8/2050948.png,LUMINOR,PAM01313,7900.0,EUR,France,December 2021
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam01085-luminor-blu-mare---44mm.html,https://www.panerai.com/content/dam/rcq/pan/20/61/23/0/2061230.png,LUMINOR,PAM01085,5400.0,EUR,France,December 2021
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam01314-luminor-marina---44mm.html,https://www.panerai.com/content/dam/rcq/pan/20/66/83/2/2066832.png,LUMINOR,PAM01314,7900.0,EUR,France,December 2021
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam02392-luminor-marina---42mm.html,https://www.panerai.com/content/dam/rcq/pan/20/66/85/6/2066856.png,LUMINOR,PAM02392,7700.0,EUR,France,December 2021
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam01316-luminor-marina--specchio-blu---44mm.html,https://www.panerai.com/content/dam/rcq/pan/20/67/63/6/2067636.png,LUMINOR,PAM01316,8700.0,EUR,France,December 2021
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam01096-luminor-luna-rossa-gmt---42mm.html,https://www.panerai.com/content/dam/rcq/pan/20/76/80/1/2076801.png,LUMINOR,PAM01096,10800.0,EUR,France,December 2021
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/submersible/pam01070-submersible-goldtech-orocarbo---44mm.html,https://www.panerai.com/content/dam/rcq/pan/20/81/27/2/2081272.png,SUBMERSIBLE,PAM01070,29900.0,EUR,France,December 2021
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam01393-luminor-marina---42mm.html,https://www.panerai.com/content/dam/rcq/pan/20/81/31/7/2081317.png,LUMINOR,PAM01393,7700.0,EUR,France,December 2021
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam01086-luminor-base-logo---44mm.html,https://www.panerai.com/content/dam/rcq/pan/20/83/64/8/2083648.png,LUMINOR,PAM01086,4900.0,EUR,France,December 2021
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam01084-luminor-logo---44mm.html,https://www.panerai.com/content/dam/rcq/pan/20/83/65/0/2083650.png,LUMINOR,PAM01084,5400.0,EUR,France,December 2021
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/radiomir/pam02020-radiomir---45mm.html,https://www.panerai.com/content/dam/rcq/pan/20/92/98/5/2092985.png,RADIOMIR,PAM02020,6500.0,EUR,France,December 2021
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam01075-luminor-left-handed---47mm.html,https://www.panerai.com/content/dam/rcq/pan/21/16/47/0/2116470.png,LUMINOR,PAM01075,9500.0,EUR,France,December 2021
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam01122-luminor-marina-44mm---guillaume-nery-edition.html,https://www.panerai.com/content/dam/rcq/pan/21/28/65/2/2128652.png,LUMINOR,PAM01122,19000.0,EUR,France,December 2021
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/submersible/pam01074-submersible-bronzo-blu-abisso.html,https://www.panerai.com/content/dam/rcq/pan/21/33/34/4/2133344.png,SUBMERSIBLE,PAM01074,15500.0,EUR,France,December 2021
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam01116-luminor-marina-platinumtech---44mm.html,https://www.panerai.com/content/dam/rcq/pan/21/33/35/9/2133359.png,LUMINOR,PAM01116,38500.0,EUR,France,December 2021
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/submersible/pam01164-submersible-goldtech---42mm.html,https://www.panerai.com/content/dam/rcq/pan/21/34/44/9/2134449.png,SUBMERSIBLE,PAM01164,27200.0,EUR,France,December 2021
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam01109-luminor-chrono.html,https://www.panerai.com/content/dam/rcq/pan/21/48/44/8/2148448.png,LUMINOR,PAM01109,8900.0,EUR,France,December 2021
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam01110-luminor-chrono.html,https://www.panerai.com/content/dam/rcq/pan/21/48/47/5/2148475.png,LUMINOR,PAM01110,9700.0,EUR,France,December 2021
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam01111-luminor-chrono-goldtech-blu-notte.html,https://www.panerai.com/content/dam/rcq/pan/21/48/50/1/2148501.png,LUMINOR,PAM01111,26500.0,EUR,France,December 2021
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam01157-luminor-marina-esteel--blu-profondo.html,https://www.panerai.com/content/dam/rcq/pan/21/48/51/9/2148519.png,LUMINOR,PAM01157,8500.0,EUR,France,December 2021
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam01303-luminor-chrono-luna-rossa.html,https://www.panerai.com/content/dam/rcq/pan/21/48/52/9/2148529.png,LUMINOR,PAM01303,9100.0,EUR,France,December 2021
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam01135-luminor-chrono-monopulsante-8-giorni-gmt-blu-notte.html,https://www.panerai.com/content/dam/rcq/pan/21/48/53/6/2148536.png,LUMINOR,PAM01135,21900.0,EUR,France,December 2021
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam01218-luminor-chrono.html,https://www.panerai.com/content/dam/rcq/pan/21/48/54/1/2148541.png,LUMINOR,PAM01218,8900.0,EUR,France,December 2021
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor-due/pam01280-piccolo-due-madreperla.html,https://www.panerai.com/content/dam/rcq/pan/21/48/54/2/2148542.png,LUMINOR-DUE,PAM01280,16400.0,EUR,France,December 2021
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam01356-luminor-marina-esteel--verde-smeraldo.html,https://www.panerai.com/content/dam/rcq/pan/21/48/55/3/2148553.png,LUMINOR,PAM01356,8500.0,EUR,France,December 2021
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam01358-luminor-marina-esteel-grigio-roccia.html,https://www.panerai.com/content/dam/rcq/pan/21/48/55/8/2148558.png,LUMINOR,PAM01358,8500.0,EUR,France,December 2021
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam00742-luminor-perpetual-calendar-goldtech.html,https://www.panerai.com/content/dam/rcq/pan/21/48/57/9/2148579.png,LUMINOR,PAM00742,46000.0,EUR,France,December 2021
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/submersible/pam01225-submersible-elab-id.html,https://www.panerai.com/content/dam/rcq/pan/21/53/48/4/2153484.png,SUBMERSIBLE,PAM01225,60000.0,EUR,France,December 2021
Panerai,https://www.panerai.com/fr/fr/collections/watch-collection/luminor/pam00715-luminor-perpetual-calendar-platinumtech.html,https://www.panerai.com/content/dam/rcq/pan/21/64/65/8/2164658.png,LUMINOR,PAM00715,66000.0,EUR,France,December 2021
