collection,reference,price,currency,country,year,price_USD,price_USD_median,Price Difference,Difference Rate (%)
LUMINOR,PAM00764,16800.0,USD,USA,2021,16800.0,15546.0,1254.0,8.066383635661907
LUMINOR,PAM00768,145000.0,EUR,France,2021,171100.0,175250.0,-4150.0,-2.3680456490727533
LUMINOR,PAM00768,18029000.0,JPY,Japan,2021,164063.9,175250.0,-11186.100000000006,-6.382938659058492
LUMINOR,PAM00768,130000.0,GBP,UK,2021,179400.0,175250.0,4150.0,2.3680456490727533
LUMINOR,PAM00768,189000.0,USD,USA,2021,189000.0,175250.0,13750.0,7.845934379457916
LUMINOR,PAM00774,4900.0,EUR,France,2021,5782.0,5858.0,-76.0,-1.297371116421987
LUMINOR,PAM00774,616000.0,JPY,Japan,2021,5605.6,5858.0,-252.39999999999964,-4.308637760327751
LUMINOR,PAM00774,4300.0,GBP,UK,2021,5933.999999999999,5858.0,75.99999999999909,1.2973711164219714
LUMINOR,PAM00774,6400.0,USD,USA,2021,6400.0,5858.0,542.0,9.252304540798907
LUMINOR,PAM00775,4900.0,EUR,France,2021,5782.0,5858.0,-76.0,-1.297371116421987
LUMINOR,PAM00775,616000.0,JPY,Japan,2021,5605.6,5858.0,-252.39999999999964,-4.308637760327751
LUMINOR,PAM00775,4300.0,GBP,UK,2021,5933.999999999999,5858.0,75.99999999999909,1.2973711164219714
LUMINOR,PAM00775,6400.0,USD,USA,2021,6400.0,5858.0,542.0,9.252304540798907
LUMINOR,PAM00776,5400.0,EUR,France,2021,6372.0,6498.0,-126.0,-1.9390581717451523
LUMINOR,PAM00776,671000.0,JPY,Japan,2021,6106.1,6498.0,-391.89999999999964,-6.031086488150194
LUMINOR,PAM00776,4800.0,GBP,UK,2021,6623.999999999999,6498.0,125.99999999999909,1.9390581717451383
LUMINOR,PAM00776,7100.0,USD,USA,2021,7100.0,6498.0,602.0,9.264389042782394
LUMINOR,PAM00777,5400.0,EUR,France,2021,6372.0,6498.0,-126.0,-1.9390581717451523
LUMINOR,PAM00777,671000.0,JPY,Japan,2021,6106.1,6498.0,-391.89999999999964,-6.031086488150194
LUMINOR,PAM00777,4800.0,GBP,UK,2021,6623.999999999999,6498.0,125.99999999999909,1.9390581717451383
LUMINOR,PAM00777,7100.0,USD,USA,2021,7100.0,6498.0,602.0,9.264389042782394
LUMINOR,PAM00778,5400.0,EUR,France,2021,6372.0,6498.0,-126.0,-1.9390581717451523
LUMINOR,PAM00778,671000.0,JPY,Japan,2021,6106.1,6498.0,-391.89999999999964,-6.031086488150194
LUMINOR,PAM00778,4800.0,GBP,UK,2021,6623.999999999999,6498.0,125.99999999999909,1.9390581717451383
LUMINOR,PAM00778,7100.0,USD,USA,2021,7100.0,6498.0,602.0,9.264389042782394
LUMINOR,PAM00779,7900.0,EUR,France,2021,9322.0,9491.0,-169.0,-1.7806342851122117
LUMINOR,PAM00779,990000.0,JPY,Japan,2021,9009.0,9491.0,-482.0,-5.078495416710568
LUMINOR,PAM00779,7000.0,GBP,UK,2021,9660.0,9491.0,169.0,1.7806342851122117
LUMINOR,PAM00779,10300.0,USD,USA,2021,10300.0,9491.0,809.0,8.523864713939522
LUMINOR,PAM00788,15500.0,EUR,France,2021,18290.0,18736.0,-446.0,-2.380444064901793
LUMINOR,PAM00788,1914000.0,JPY,Japan,2021,17417.4,18736.0,-1318.5999999999985,-7.037788215200676
LUMINOR,PAM00788,13900.0,GBP,UK,2021,19182.0,18736.0,446.0,2.380444064901793
LUMINOR,PAM00788,20200.0,USD,USA,2021,20200.0,18736.0,1464.0,7.813834329632792
LUMINOR,PAM00795,7200.0,EUR,France,2021,8496.0,8526.0,-30.0,-0.3518648838845883
LUMINOR,PAM00795,880000.0,JPY,Japan,2021,8008.0,8526.0,-518.0,-6.075533661740558
LUMINOR,PAM00795,6200.0,GBP,UK,2021,8556.0,8526.0,30.0,0.3518648838845883
LUMINOR,PAM00795,9400.0,USD,USA,2021,9400.0,8526.0,874.0,10.25099695050434
LUMINOR,PAM00797,7700.0,EUR,France,2021,9086.0,9097.0,-11.0,-0.12091898428053204
LUMINOR,PAM00797,957000.0,JPY,Japan,2021,8708.7,9097.0,-388.2999999999993,-4.268440145102773
LUMINOR,PAM00797,6600.0,GBP,UK,2021,9108.0,9097.0,11.0,0.12091898428053204
LUMINOR,PAM00797,10100.0,USD,USA,2021,10100.0,9097.0,1003.0,11.025612839397605
SUBMERSIBLE,PAM00799,14900.0,EUR,France,2021,17582.0,18037.0,-455.0,-2.5225924488551312
SUBMERSIBLE,PAM00799,1848000.0,JPY,Japan,2021,16816.8,18037.0,-1220.2000000000007,-6.764983090314358
SUBMERSIBLE,PAM00799,13400.0,GBP,UK,2021,18492.0,18037.0,455.0,2.5225924488551312
SUBMERSIBLE,PAM00799,19400.0,USD,USA,2021,19400.0,18037.0,1363.0,7.556689028108887
LUMINOR,PAM00915,6700.0,EUR,France,2021,7906.0,7955.0,-49.0,-0.6159648020113137
LUMINOR,PAM00915,836000.0,JPY,Japan,2021,7607.6,7955.0,-347.39999999999964,-4.367064739157757
LUMINOR,PAM00915,5800.0,GBP,UK,2021,8003.999999999999,7955.0,48.99999999999909,0.6159648020113022
LUMINOR,PAM00915,8800.0,USD,USA,2021,8800.0,7955.0,845.0,10.622250157133879
LUMINOR-DUE,PAM00926,6900.0,EUR,France,2021,8142.0,8280.0,-138.0,-1.6666666666666667
LUMINOR-DUE,PAM00926,858000.0,JPY,Japan,2021,7807.8,8280.0,-472.1999999999998,-5.702898550724635
