reference,year,image_url,collection,brand,country,price,product_url,currency,name,availability,currency_code,price_JPY,price_USD,price_GBP,price_EUR
PAM02662,2025,https://www.panerai.com/content/dam/rcq/pan/yy/cr/9q/UF/8E/i4/Xp/AT/OQ/_Q/Qw/yycr9qUF8Ei4XpATOQ_QQw.png,Luminor,PANERAI,USA,16300,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam02662-luminor-marina-tuttogrigio.html,$,Luminor Marina TuttoGrigio,Out of Stock,USD,2454299.1500000004,16300.0,12942.2,15693.64
PAM01112,2025,https://www.panerai.com/content/dam/rcq/pan/20/35/33/2/2035332.png,Luminor,PANERAI,USA,26800,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01112-luminor-marina-goldtech.html,$,Luminor Marina Goldtech™ ,Available,USD,4035289.4000000004,26800.0,21279.2,25803.04
PAM01365,2025,https://www.panerai.com/content/dam/rcq/pan/uG/0I/iH/F2/xE/iG/8V/Vk/z4/Lv/Ig/uG0IiHF2xEiG8VVkz4LvIg.png,Luminor,PANERAI,USA,9200,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01365-luminor-quaranta-bitempo.html,$,Luminor Quaranta BiTempo,Available,USD,1385248.6,9200.0,7304.8,8857.76
PAM01367,2025,https://www.panerai.com/content/dam/rcq/pan/CT/n-/6W/SU/ok/CC/Wq/YS/6M/km/gQ/CTn-6WSUokCCWqYS6MkmgQ.png,Luminor,PANERAI,USA,9200,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01367-luminor-quaranta-bitempo.html,$,Luminor Quaranta BiTempo,Available,USD,1385248.6,9200.0,7304.8,8857.76
PAM01404,2025,https://www.panerai.com/content/dam/rcq/pan/i7/zz/dP/TF/Kk/6Y/YC/D8/K6/wz/xQ/i7zzdPTFKk6YYCD8K6wzxQ.png,Luminor,PANERAI,USA,9600,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01404-luminor-quaranta-bitempo-luna-rossa.html,$,Luminor Quaranta BiTempo Luna Rossa,Available,USD,1445476.8,9600.0,7622.400000000001,9242.88
PAM01640,2025,https://www.panerai.com/content/dam/rcq/pan/8G/1V/mN/s5/Tj/2E/r0/-R/p2/Tt/0A/8G1VmNs5Tj2Er0-Rp2Tt0A.png,Luminor,PANERAI,USA,9800,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01640-luminor-quaranta-bitempo.html,$,Luminor Quaranta BiTempo,Available,USD,1475590.9000000001,9800.0,7781.200000000001,9435.44
PAM01641,2025,https://www.panerai.com/content/dam/rcq/pan/c1/qc/KI/QE/RB/uk/hB/wg/mT/GE/4g/c1qcKIQERBukhBwgmTGE4g.png,Luminor,PANERAI,USA,25400,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01641-luminor-quaranta-bitempo-goldtech.html,$,Luminor Quaranta BiTempo Goldtech™,Out of Stock,USD,3824490.7,25400.0,20167.600000000002,24455.12
PAM01360,2025,https://www.panerai.com/content/dam/rcq/pan/OJ/1e/ma/oI/EU/ex/4m/Es/3I/a1/ow/OJ1emaoIEUex4mEs3Ia1ow.png,Luminor,PANERAI,USA,10600,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01360-luminor-bitempo-power-reserve.html,$,Luminor BiTempo Power Reserve,Available,USD,1596047.3,10600.0,8416.4,10205.68
PAM01361,2025,https://www.panerai.com/content/dam/rcq/pan/aM/zj/RO/N0/6k/Sl/Pw/jL/Cm/ro/kg/aMzjRON06kSlPwjLCmrokg.png,Luminor,PANERAI,USA,10600,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01361-luminor-bitempo-power-reserve.html,$,Luminor BiTempo Power Reserve,Available,USD,1596047.3,10600.0,8416.4,10205.68
PAM01441,2025,https://www.panerai.com/content/dam/rcq/pan/17/12/33/1/1712331.png,Luminor,PANERAI,USA,14900,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01441-luminor-gmt.html,$,Luminor GMT,Available,USD,2243500.45,14900.0,11830.6,14345.72
PAM01674,2025,https://www.panerai.com/content/dam/rcq/pan/MC/aC/kK/6t/TR/SO/eX/tG/o5/BN/Hg/MCaCkK6tTRSOeXtGo5BNHg.png,Luminor,PANERAI,USA,19100,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01674-luminor-gmt-power-reserve-ceramica.html,$,Luminor GMT Power Reserve Ceramica,Out of Stock,USD,2875896.5500000003,19100.0,15165.400000000001,18389.48
PAM01218,2025,https://www.panerai.com/content/dam/rcq/pan/21/48/54/1/2148541.png,Luminor,PANERAI,USA,10000,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01218-luminor-chrono.html,$,Luminor Chrono,Available,USD,1505705.0,10000.0,7940.0,9628.0
PAM01109,2025,https://www.panerai.com/content/dam/rcq/pan/21/48/44/8/2148448.png,Luminor,PANERAI,USA,10000,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01109-luminor-chrono.html,$,Luminor Chrono,Available,USD,1505705.0,10000.0,7940.0,9628.0
PAM01110,2025,https://www.panerai.com/content/dam/rcq/pan/21/48/47/5/2148475.png,Luminor,PANERAI,USA,10800,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01110-luminor-chrono.html,$,Luminor Chrono,Available,USD,1626161.4000000001,10800.0,8575.2,10398.24
PAM01548,2025,https://www.panerai.com/content/dam/rcq/pan/KN/yQ/HT/7X/8E/mk/Jn/fc/ZC/aV/Ig/KNyQHT7X8EmkJnfcZCaVIg.png,Luminor,PANERAI,USA,10800,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01548-luminor-chrono.html,$,Luminor Chrono,Available,USD,1626161.4000000001,10800.0,8575.2,10398.24
PAM01219,2025,https://www.panerai.com/content/dam/rcq/pan/cd/oK/fQ/Qt/SU/et/Rb/ak/AV/Fk/TA/cdoKfQQtSUetRbakAVFkTA.png,Luminor,PANERAI,USA,16600,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01219-luminor-chrono-carbotech.html,$,Luminor Chrono Carbotech™,Available,USD,2499470.3000000003,16600.0,13180.400000000001,15982.48
PAM01111,2025,https://www.panerai.com/content/dam/rcq/pan/21/48/50/1/2148501.png,Luminor,PANERAI,USA,29400,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01111-luminor-chrono-goldtech.html,$,Luminor Chrono Goldtech™,Available,USD,4426772.7,29400.0,23343.600000000002,28306.32
PAM01409,2025,https://www.panerai.com/content/dam/rcq/pan/gE/0n/MZ/Ma/9k/Op/N-/8F/mc/nf/DQ/gE0nMZMa9kOpN-8FmcnfDQ.png,Luminor,PANERAI,USA,11000,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01409-luminor-chrono-navy-seals.html,$,Luminor Chrono Navy SEALs,Out of Stock,USD,1656275.5,11000.0,8734.0,10590.8
PAM01419,2025,https://www.panerai.com/content/dam/rcq/pan/Sm/IC/8D/Fv/HU/qL/NG/kj/Mg/F8/8g/SmIC8DFvHUqLNGkjMgF88g.png,Luminor,PANERAI,USA,17900,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01419-luminor-chrono-carbotech-navy-seals.html,$,Luminor Chrono Carbotech™ Navy SEALs,Available,USD,2695211.95,17900.0,14212.6,17234.12
PAM01482,2025,https://www.panerai.com/content/dam/rcq/pan/MT/BC/lK/ZB/Tv/GJ/d8/UV/Nx/2S/Bw/MTBClKZBTvGJd8UVNx2SBw.png,Luminor,PANERAI,USA,15200,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01482-luminor-dieci-giorni-gmt.html,$,Luminor Dieci Giorni GMT,Out of Stock,USD,2288671.6,15200.0,12068.800000000001,14634.56
PAM01483,2025,https://www.panerai.com/content/dam/rcq/pan/DZ/dw/-j/Qb/SQ/6U/2X/HX/LA/S_/dg/DZdw-jQbSQ6U2XHXLAS_dg.png,Luminor,PANERAI,USA,19500,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01483-luminor-dieci-giorni-gmt-ceramica.html,$,Luminor Dieci Giorni GMT Ceramica,Out of Stock,USD,2936124.75,19500.0,15483.0,18774.6
PAM00742,2025,https://www.panerai.com/content/dam/rcq/pan/21/48/57/9/2148579.png,Luminor,PANERAI,USA,45100,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam00742-luminor-perpetual-calendar-gmt-goldtech.html,$,Luminor Perpetual Calendar GMT Goldtech™ ,Out of Stock,USD,6790729.550000001,45100.0,35809.4,43422.28
PAM00715,2025,https://www.panerai.com/content/dam/rcq/pan/21/64/65/8/2164658.png,Luminor,PANERAI,USA,62400,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam00715-luminor-perpetual-calendar-gmt-platinumtech.html,$,Luminor Perpetual Calendar GMT Platinumtech™,Out of Stock,USD,9395599.200000001,62400.0,49545.600000000006,60078.72
