brand,url,image_url,collection,reference,price,currency,country,year,price_EUR,price_GBP,price_USD,price_JPY
Panerai,https://www.panerai.com/en/collections/watch-collection/luminor/pam00768-luminor-tourbillon-gmt---47mm.html,https://www.panerai.com/content/dam/rcq/pan/19/11/72/2/1911722.png,LUMINOR,PAM00768,189000.0,USD,USA,2021,181969.2,150066.0,189000.0,28457824.5
Panerai,https://www.panerai.com/en/collections/watch-collection/radiomir/pam00995-radiomir---45mm.html,https://www.panerai.com/content/dam/rcq/pan/19/18/46/7/1918467.png,RADIOMIR,PAM00995,14200.0,USD,USA,2021,13671.76,11274.800000000001,14200.0,2138101.1
Panerai,https://www.panerai.com/en/collections/watch-collection/radiomir/pam00997-radiomir---48mm.html,https://www.panerai.com/content/dam/rcq/pan/19/18/46/9/1918469.png,RADIOMIR,PAM00997,16800.0,USD,USA,2021,16175.039999999999,13339.2,16800.0,2529584.4000000004
Panerai,https://www.panerai.com/en/collections/watch-collection/radiomir/pam00998-radiomir-gmt---45mm.html,https://www.panerai.com/content/dam/rcq/pan/19/18/47/2/1918472.png,RADIOMIR,PAM00998,15200.0,USD,USA,2021,14634.56,12068.800000000001,15200.0,2288671.6
Panerai,https://www.panerai.com/en/collections/watch-collection/radiomir/pam00999-radiomir-gmt-power-reserve---45mm.html,https://www.panerai.com/content/dam/rcq/pan/19/18/47/4/1918474.png,RADIOMIR,PAM00999,15500.0,USD,USA,2021,14923.4,12307.0,15500.0,2333842.75
Panerai,https://www.panerai.com/en/collections/watch-collection/submersible/pam00973-submersible---42mm.html,https://www.panerai.com/content/dam/rcq/pan/19/18/47/7/1918477.png,SUBMERSIBLE,PAM00973,11300.0,USD,USA,2021,10879.64,8972.2,11300.0,1701446.6500000001
Panerai,https://www.panerai.com/en/collections/watch-collection/submersible/pam00974-submersible---42mm.html,https://www.panerai.com/content/dam/rcq/pan/19/18/47/8/1918478.png,SUBMERSIBLE,PAM00974,34500.0,USD,USA,2021,33216.6,27393.0,34500.0,5194682.25
Panerai,https://www.panerai.com/en/collections/watch-collection/luminor-due/pam01029-luminor-due---38mm.html,https://www.panerai.com/content/dam/rcq/pan/19/18/48/0/1918480.png,LUMINOR-DUE,PAM01029,20000.0,USD,USA,2021,19256.0,15880.0,20000.0,3011410.0
Panerai,https://www.panerai.com/en/collections/watch-collection/luminor-due/pam00927-luminor-due---42mm.html,https://www.panerai.com/content/dam/rcq/pan/19/31/49/9/1931499.png,LUMINOR-DUE,PAM00927,9400.0,USD,USA,2021,9050.32,7463.6,9400.0,1415362.7000000002
Panerai,https://www.panerai.com/en/collections/watch-collection/luminor-due/pam00926-luminor-due---38mm.html,https://www.panerai.com/content/dam/rcq/pan/19/31/50/0/1931500.png,LUMINOR-DUE,PAM00926,9000.0,USD,USA,2021,8665.2,7146.0,9000.0,1355134.5
Panerai,https://www.panerai.com/en/collections/watch-collection/luminor-due/pam00964-luminor-due-gmt-power-reserve---45mm.html,https://www.panerai.com/content/dam/rcq/pan/19/34/35/4/1934354.png,LUMINOR-DUE,PAM00964,15500.0,USD,USA,2021,14923.4,12307.0,15500.0,2333842.75
Panerai,https://www.panerai.com/en/collections/watch-collection/luminor-due/pam01046-luminor-due---42mm.html,https://www.panerai.com/content/dam/rcq/pan/19/34/35/5/1934355.png,LUMINOR-DUE,PAM01046,8300.0,USD,USA,2021,7991.24,6590.200000000001,8300.0,1249735.1500000001
Panerai,https://www.panerai.com/en/collections/watch-collection/luminor-due/pam01043-luminor-due---38mm.html,https://www.panerai.com/content/dam/rcq/pan/19/34/35/6/1934356.png,LUMINOR-DUE,PAM01043,8000.0,USD,USA,2021,7702.4,6352.0,8000.0,1204564.0
Panerai,https://www.panerai.com/en/collections/watch-collection/luminor-due/pam01045-luminor-due---38mm.html,https://www.panerai.com/content/dam/rcq/pan/19/34/35/7/1934357.png,LUMINOR-DUE,PAM01045,20000.0,USD,USA,2021,19256.0,15880.0,20000.0,3011410.0
Panerai,https://www.panerai.com/en/collections/watch-collection/luminor/pam01037-luminor-luna-rossa-chrono-flyback---44mm.html,https://www.panerai.com/content/dam/rcq/pan/19/58/84/7/1958847.png,LUMINOR,PAM01037,22700.0,USD,USA,2021,21855.56,18023.8,22700.0,3417950.35
Panerai,https://www.panerai.com/en/collections/watch-collection/radiomir/pam00931-radiomir-california---47mm.html,https://www.panerai.com/content/dam/rcq/pan/19/62/12/8/1962128.png,RADIOMIR,PAM00931,11100.0,USD,USA,2021,10687.08,8813.4,11100.0,1671332.55
Panerai,https://www.panerai.com/en/collections/watch-collection/luminor-due/pam01042-luminor-due---42mm.html,https://www.panerai.com/content/dam/rcq/pan/19/72/38/6/1972386.png,LUMINOR-DUE,PAM01042,24000.0,USD,USA,2021,23107.2,19056.0,24000.0,3613692.0000000005
Panerai,https://www.panerai.com/en/collections/watch-collection/luminor-due/pam01041-luminor-due---42mm.html,https://www.panerai.com/content/dam/rcq/pan/19/72/38/7/1972387.png,LUMINOR-DUE,PAM01041,24000.0,USD,USA,2021,23107.2,19056.0,24000.0,3613692.0000000005
Panerai,https://www.panerai.com/en/collections/watch-collection/radiomir/pam00992-radiomir-8-days---45mm.html,https://www.panerai.com/content/dam/rcq/pan/19/72/39/0/1972390.png,RADIOMIR,PAM00992,10800.0,USD,USA,2021,10398.24,8575.2,10800.0,1626161.4000000001
Panerai,https://www.panerai.com/en/collections/watch-collection/luminor/pam00915-luminor-base---44mm.html,https://www.panerai.com/content/dam/rcq/pan/19/76/97/7/1976977.png,LUMINOR,PAM00915,8800.0,USD,USA,2021,8472.64,6987.200000000001,8800.0,1325020.4000000001
Panerai,https://www.panerai.com/en/collections/watch-collection/luminor/pam01661-luminor-marina-carbotech---44mm.html,https://www.panerai.com/content/dam/rcq/pan/20/15/95/0/2015950.png,LUMINOR,PAM01661,17600.0,USD,USA,2021,16945.28,13974.400000000001,17600.0,2650040.8000000003
Panerai,https://www.panerai.com/en/collections/watch-collection/radiomir/pam01078-radiomir---45mm.html,https://www.panerai.com/content/dam/rcq/pan/20/27/37/3/2027373.png,RADIOMIR,PAM01078,14200.0,USD,USA,2021,13671.76,11274.800000000001,14200.0,2138101.1
Panerai,https://www.panerai.com/en/collections/watch-collection/radiomir/pam01144-radiomir---42mm.html,https://www.panerai.com/content/dam/rcq/pan/20/27/37/5/2027375.png,RADIOMIR,PAM01144,10300.0,USD,USA,2021,9916.84,8178.200000000001,10300.0,1550876.1500000001
Panerai,https://www.panerai.com/en/collections/watch-collection/luminor/pam01117-luminor-marina---44mm.html,https://www.panerai.com/content/dam/rcq/pan/20/35/32/1/2035321.png,LUMINOR,PAM01117,24900.0,USD,USA,2021,23973.72,19770.600000000002,24900.0,3749205.45
Panerai,https://www.panerai.com/en/collections/watch-collection/submersible/pam01108-submersible-ecopangaea-tourbillon-gmt---50mm-mike-horn-.html,https://www.panerai.com/content/dam/rcq/pan/20/35/33/0/2035330.png,SUBMERSIBLE,PAM01108,247700.0,USD,USA,2021,238485.56,196673.80000000002,247700.0,37296312.85
Panerai,https://www.panerai.com/en/collections/watch-collection/luminor/pam01112-luminor-marina-goldtech---44mm.html,https://www.panerai.com/content/dam/rcq/pan/20/35/33/2/2035332.png,LUMINOR,PAM01112,30700.0,USD,USA,2021,29557.96,24375.800000000003,30700.0,4622514.350000001
Panerai,https://www.panerai.com/en/collections/watch-collection/luminor/pam01118-luminor-marina-carbotech---44mm.html,https://www.panerai.com/content/dam/rcq/pan/20/35/33/4/2035334.png,LUMINOR,PAM01118,20900.0,USD,USA,2021,20122.52,16594.600000000002,20900.0,3146923.45
Panerai,https://www.panerai.com/en/collections/watch-collection/luminor/pam01119-luminor-marina-fibratech---44mm.html,https://www.panerai.com/content/dam/rcq/pan/20/35/33/6/2035336.png,LUMINOR,PAM01119,24900.0,USD,USA,2021,23973.72,19770.600000000002,24900.0,3749205.45
Panerai,https://www.panerai.com/en/collections/watch-collection/luminor/pam01662-luminor-marina---44mm.html,https://www.panerai.com/content/dam/rcq/pan/20/35/34/1/2035341.png,LUMINOR,PAM01662,19600.0,USD,USA,2021,18870.88,15562.400000000001,19600.0,2951181.8000000003
Panerai,https://www.panerai.com/en/collections/watch-collection/luminor/pam01663-luminor-marina-fibratech---44mm.html,https://www.panerai.com/content/dam/rcq/pan/20/35/34/4/2035344.png,LUMINOR,PAM01663,20900.0,USD,USA,2021,20122.52,16594.600000000002,20900.0,3146923.45
Panerai,https://www.panerai.com/en/collections/watch-collection/luminor/pam01313-luminor-marina---44mm.html,https://www.panerai.com/content/dam/rcq/pan/20/50/94/8/2050948.png,LUMINOR,PAM01313,10300.0,USD,USA,2021,9916.84,8178.200000000001,10300.0,1550876.1500000001
